,genre1,genre2,style1,style2,style3,style4,style5,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10
backstreet boys,Pop/Rock,Electronic,Adult Contemporary,Dance-Pop,Euro-Dance,Euro-Pop,Pop,Energetic,Innocent,Light,Stylish,Happy,Refined,Rousing,Sweet,Theatrical,Yearning
bad company,Pop/Rock,,Album Rock,Arena Rock,Blues-Rock,Hard Rock,Rock & Roll,Bravado,Greasy,Rousing,Celebratory,Exuberant,Playful,Sexual,Sexy,Somber,Stylish
bad english,Pop/Rock,,Album Rock,Hard Rock,Contemporary Pop/Rock,Hair Metal,Heavy Metal,Rousing,Sentimental,Earnest,Confident,Theatrical,,,,,
bad meets evil,Rap,,Hardcore Rap,Midwest Rap,Underground Rap,,,Aggressive,Provocative,Street-Smart,Brash,Confrontational,Cynical/Sarcastic,Dark,Defiant,Gutsy,Harsh
badfinger,Pop/Rock,,Contemporary Pop/Rock,Power Pop,AM Pop,Album Rock,Soft Rock,Amiable/Good-Natured,Bittersweet,Cheerful,Earnest,Poignant,Reflective,Rollicking,Sentimental,Sweet,Whimsical
baltimora,Pop/Rock,,Club/Dance,Italo Disco,Euro-Dance,Dance-Pop,Synth Pop,Bright,Fun,Light,Playful,Boisterous,Confident,Dramatic,Effervescent,Gutsy,Rousing
bananarama,Pop/Rock,Electronic,Contemporary Pop/Rock,Dance-Pop,New Wave,Punk/New Wave,Dance-Rock,Bittersweet,Bright,Fun,Innocent,Playful,Sentimental,Summery,Yearning,Celebratory,Cheerful
barbara lewis,R&B,Pop/Rock,Pop-Soul,Soul,Uptown Soul,Early Pop/Rock,Early R&B,Amiable/Good-Natured,Elegant,Gentle,Passionate,Poignant,Romantic,Sensual,Smooth,Soft/Quiet,Soothing
barbara mason,R&B,,Pop-Soul,Soul,Urban,,,Bittersweet,Confident,Earnest,Intimate,Passionate,Romantic,Sensual,Amiable/Good-Natured,,
barbra streisand,Vocal,Pop/Rock,Adult Contemporary,Cast Recordings,Musicals,Show Tunes,Soft Rock,Bittersweet,Earnest,Elegant,Intimate,Sophisticated,Yearning,Calm/Peaceful,Confident,Exuberant,Gentle
barbra streisand  barry gibb,Vocal,Pop/Rock,Adult Contemporary,Cast Recordings,Musicals,Show Tunes,Soft Rock,Bittersweet,Earnest,Elegant,Intimate,Sophisticated,Yearning,Calm/Peaceful,Confident,Exuberant,Gentle
barbra streisand  donna summer,R&B,,Club/Dance,Disco,Dance-Pop,Contemporary R&B,House,Amiable/Good-Natured,Celebratory,Joyous,Sexual,Sophisticated,Sparkling,Swaggering,Uplifting,Carefree,Cheerful
barbra streisand and bryan adams,Vocal,Pop/Rock,Adult Contemporary,Cast Recordings,Musicals,Show Tunes,Soft Rock,Bittersweet,Earnest,Elegant,Intimate,Sophisticated,Yearning,Calm/Peaceful,Confident,Exuberant,Gentle
barenaked ladies,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,,,Earnest,Giddy,Literate,Playful,Quirky,Amiable/Good-Natured,Gleeful,Happy,Witty,Bittersweet
barry manilow,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Soft Rock,AM Pop,Show/Musical,Bittersweet,Refined,Stylish,Theatrical,Warm,Calm/Peaceful,Earnest,Elegant,Gentle,Poignant
barry mcguire,Pop/Rock,,Folk-Rock,Singer/Songwriter,AM Pop,,,Angry,Bleak,Confrontational,Fiery,Intense,Passionate,Volatile,Earnest,,
barry white,R&B,,Disco,Quiet Storm,Smooth Soul,Soul,,Elegant,Passionate,Romantic,Sensual,Confident,Lush,Sexual,Sexy,Stylish,Celebratory
